group,team,elo,p_advance
A,Czech Republic,1793.4733589829361,0.6153
A,Mexico,1970.0377696858827,0.9487
A,South Africa,1678.2553807681484,0.2803
A,South Korea,1887.60712083632,0.8086
B,Bosnia and Herzegovina,1659.146504011665,0.3649
B,Canada,1907.9881240084833,0.9674
B,Qatar,1624.8619742109304,0.2451
B,Switzerland,1962.5410390352338,0.9214
C,Australia,1919.8899596340375,0.6641
C,Paraguay,1896.0828558507512,0.5375
C,Turkey,1959.6939734369673,0.7764
C,United States,1907.6648350052587,0.8133
D,Brazil,2040.0374159169583,0.9585
D,Haiti,1662.0800757318705,0.1699
D,Morocco,2017.883069211735,0.9319
D,Scotland,1838.2078584061735,0.6213
E,Japan,2013.9160620903924,0.8979
E,Netherlands,2043.801215131424,0.9504
E,Sweden,1788.109701676317,0.4363
E,Tunisia,1742.2464788780692,0.3593
F,Curaçao,1604.20297145555,0.109
F,Ecuador,2004.7341402960462,0.9479
F,Germany,2036.8210219596735,0.9678
F,Ivory Coast,1804.322985897246,0.6364
G,Belgium,1945.2972361560983,0.8782
G,Egypt,1799.7891695425649,0.5916
G,Iran,1896.2461507456226,0.8008
G,New Zealand,1767.4383062196312,0.4477
H,Cape Verde,1645.9570552442437,0.2018
H,Saudi Arabia,1706.9074730803745,0.3545
H,Spain,2216.3258601057723,0.9929
H,Uruguay,1962.7221954507613,0.9144
I,Algeria,1854.582678777342,0.5982
I,Argentina,2175.854475052916,0.9762
I,Austria,1904.7736974627314,0.7684
I,Jordan,1790.498226004137,0.3623
J,France,2141.245226103406,0.9533
J,Iraq,1748.6336218729498,0.2416
J,Norway,1966.6053288949133,0.8316
J,Senegal,1912.0048063250983,0.7289
K,Colombia,2043.1708585568736,0.931
K,DR Congo,1757.240974267849,0.2906
K,Portugal,2025.3788069571058,0.9142
K,Uzbekistan,1859.792300586033,0.5821
L,Croatia,1983.1553763010418,0.9297
L,England,2092.4574852946484,0.979
L,Ghana,1620.0238852021284,0.1164
L,Panama,1853.0766858669576,0.685
